house age,distance_to_mrt,num_convenience_stores,price_per_unit_area,num_of_rooms
1.0,193.5845,6.0,50.7,6
8.5,104.8101,5.0,56.8,4
30.4,464.223,6.0,36.2,1
12.5,561.9845,5.0,42.0,4
6.6,90.45606,9.0,59.0,3
35.5,640.7391,3.0,40.8,2
32.5,424.5442,8.0,36.3,2
6.8,379.5575,10.0,54.4,5
12.3,1360.139,1.0,29.5,1
35.9,616.4004,3.0,36.8,4
20.5,2185.128,3.0,25.6,2
38.2,552.4371,2.0,29.8,2
18.0,1414.837,1.0,26.5,2
11.8,533.4762,4.0,40.3,2
30.8,377.7956,6.0,36.8,1
13.2,150.9347,7.0,48.1,4
25.3,2707.392,3.0,17.7,1
15.1,383.2805,7.0,43.7,4
0.0,338.9679,9.0,50.8,6
1.8,1455.798,1.0,27.0,2
0.0,274.0144,1.0,45.4,1
40.9,167.5989,5.0,41.0,2
8.0,104.8101,5.0,51.8,6
6.4,90.45606,9.0,59.5,5
28.4,617.4424,3.0,34.6,1
16.4,289.3248,5.0,51.0,4
6.4,90.45606,9.0,62.2,4
17.5,964.7496,4.0,38.2,2
12.7,170.1289,1.0,32.9,2
1.1,193.5845,6.0,54.4,3
0.0,208.3905,6.0,45.7,3
32.7,392.4459,6.0,30.5,2
0.0,292.9978,6.0,71.0,3
17.2,189.5181,8.0,47.1,1
12.2,1360.139,1.0,26.6,1
31.4,592.5006,2.0,34.1,1
4.0,2147.376,3.0,28.4,1
8.1,104.8101,5.0,51.6,6
33.3,196.6172,7.0,39.4,4
9.9,2102.427,3.0,23.1,1
14.8,393.2606,6.0,7.6,2
30.6,143.8383,8.0,53.3,3
20.6,737.9161,2.0,46.4,1
30.9,6396.283,1.0,12.2,1
25.3,1583.722,3.0,30.6,1
13.6,492.2313,5.0,48.0,5
31.5,414.9476,4.0,32.5,4
9.9,279.1726,7.0,57.4,6
1.1,193.5845,6.0,48.6,4
38.6,804.6897,4.0,62.9,6
3.8,383.8624,5.0,55.0,4
38.5,216.8329,7.0,41.0,2
29.6,535.527,8.0,37.5,2
4.0,2147.376,3.0,30.7,1
26.6,482.7581,5.0,37.5,2
18.0,373.3937,8.0,39.5,4
33.4,186.9686,6.0,42.2,3
11.4,390.5684,5.0,46.8,4
13.6,319.0708,6.0,47.4,3
12.9,492.2313,5.0,42.5,4
16.2,289.3248,5.0,51.4,5
5.1,1559.827,3.0,28.9,2
19.8,640.6071,5.0,37.5,3
13.6,492.2313,5.0,40.1,2
11.9,1360.139,1.0,28.4,1
2.1,451.2438,5.0,45.5,2
3.2,489.8821,8.0,43.2,4
34.9,179.4538,8.0,39.7,3
35.8,170.7311,7.0,48.5,5
4.9,387.7721,9.0,44.7,4
12.0,1360.139,1.0,28.9,2
6.5,376.1709,6.0,40.9,2
16.1,815.9314,4.0,35.6,1
11.6,390.5684,5.0,39.4,1
15.5,815.9314,4.0,37.4,1
3.5,49.66105,8.0,57.8,5
19.2,616.4004,3.0,39.6,3
8.5,104.8101,5.0,55.5,5
13.7,1236.564,1.0,30.6,2
0.0,292.9978,6.0,73.6,3
28.2,330.0854,8.0,43.4,4
27.6,515.1122,5.0,37.4,1
8.4,1962.628,1.0,23.5,1
3.6,383.8624,5.0,58.8,5
6.6,90.45606,9.0,58.1,4
41.3,401.8807,4.0,35.1,1
4.3,432.0385,7.0,45.2,2
30.2,472.1745,3.0,36.5,4
33.0,181.0766,9.0,42.0,3
13.1,1144.436,4.0,36.7,1
14.0,438.8513,1.0,42.6,3
11.6,201.8939,8.0,55.9,6
13.5,2147.376,3.0,23.6,2
31.4,1447.286,3.0,21.5,1
20.9,2185.128,3.0,25.7,1
34.8,190.0392,8.0,44.3,1
35.3,616.5735,8.0,42.3,2
13.2,750.0704,2.0,37.8,4
43.8,57.58945,7.0,42.7,1
9.7,421.479,5.0,49.3,5
15.2,461.1016,5.0,34.6,3
22.8,707.9067,2.0,36.6,2
34.4,126.7286,8.0,48.2,6
34.0,157.6052,7.0,39.1,4
18.2,451.6419,8.0,31.6,3
13.1,561.9845,5.0,45.9,4
38.3,642.6985,3.0,31.5,1
15.6,289.3248,5.0,46.1,2
18.0,1414.837,1.0,26.6,1
12.8,1449.722,3.0,21.4,2
22.2,379.5575,10.0,44.0,4
38.5,665.0636,3.0,34.2,1
11.5,1360.139,1.0,26.2,2
34.8,175.6294,8.0,40.9,1
5.2,390.5684,5.0,52.2,4
0.0,274.0144,1.0,43.5,3
17.6,1805.665,2.0,31.1,1
6.2,90.45606,9.0,58.0,6
18.1,1783.18,3.0,20.9,2
19.2,383.7129,8.0,48.1,4
37.8,590.9292,1.0,39.7,1
28.0,372.6242,6.0,40.8,3
13.6,492.2313,5.0,43.8,4
29.3,529.7771,8.0,40.2,1
37.2,186.5101,9.0,78.3,6
30.6,431.1114,10.0,48.5,5
34.5,324.9419,6.0,46.0,1
1.1,193.5845,6.0,49.0,6
32.4,265.0609,8.0,40.2,3
4.0,2147.376,3.0,33.4,1
27.1,4412.765,1.0,17.4,1
39.7,333.3679,9.0,32.4,2
8.0,2216.612,4.0,23.9,1
12.9,250.631,7.0,39.3,1
3.6,373.8389,10.0,61.9,4
11.0,1712.632,2.0,28.8,1
13.7,250.631,7.0,41.4,4
2.0,2077.39,3.0,33.4,2
32.8,204.1705,8.0,48.2,3
4.8,1559.827,3.0,21.7,2
7.5,639.6198,5.0,40.8,4
16.4,389.8219,6.0,40.6,4
18.0,6306.153,1.0,15.0,2
39.2,424.7132,7.0,30.0,2
5.9,90.45606,9.0,52.7,5
30.4,1735.595,2.0,25.9,1
1.1,329.9747,5.0,51.8,5
31.5,5512.038,1.0,17.4,2
14.6,339.2289,1.0,26.5,2
17.3,444.1334,1.0,43.9,3
0.0,292.9978,6.0,63.3,4
17.0,1485.097,4.0,30.7,2
16.2,2288.011,3.0,24.4,2
15.9,289.3248,5.0,53.0,5
3.9,2147.376,3.0,31.7,4
32.6,493.657,7.0,40.6,4
15.7,815.9314,4.0,38.1,2
17.8,1783.18,3.0,23.7,2
34.7,482.7581,5.0,41.1,2
17.2,390.5684,5.0,40.1,2
10.8,252.5822,1.0,117.5,4
17.7,451.6419,8.0,26.5,2
13.0,492.2313,5.0,40.5,1
13.2,170.1289,1.0,29.3,2
27.5,394.0173,7.0,41.0,4
1.5,23.38284,7.0,49.7,3
19.1,461.1016,5.0,34.0,3
21.2,2185.128,3.0,27.7,1
0.0,208.3905,6.0,44.0,2
2.6,1554.25,3.0,31.1,2
2.3,184.3302,6.0,45.4,2
4.7,387.7721,9.0,44.8,1
2.0,1455.798,1.0,25.6,1
33.5,1978.671,2.0,23.5,1
15.0,383.2805,7.0,34.4,4
30.1,718.2937,3.0,55.3,3
5.9,90.45606,9.0,56.3,4
19.2,461.1016,5.0,32.9,2
16.6,323.6912,6.0,51.0,5
13.9,289.3248,5.0,44.5,4
3.4,56.47425,7.0,54.4,3
17.5,395.6747,5.0,24.5,2
12.6,383.2805,7.0,42.5,3
26.4,335.5273,6.0,38.1,4
18.2,2179.59,3.0,21.8,1
12.5,1144.436,4.0,34.1,4
34.9,567.0349,4.0,28.5,1
33.2,121.7262,10.0,46.1,3
2.5,156.2442,4.0,36.9,2
16.5,2288.011,3.0,23.2,2
20.0,1626.083,3.0,29.4,1
16.2,289.3248,5.0,55.0,6
14.4,169.9803,1.0,50.2,5
16.4,289.3248,5.0,53.0,5
16.4,1643.499,2.0,24.7,1
21.3,537.7971,4.0,42.2,2
35.4,318.5292,9.0,78.0,5
8.3,104.8101,5.0,42.8,1
3.7,577.9615,6.0,41.6,4
15.6,1756.411,2.0,27.3,2
13.3,250.631,7.0,42.0,3
15.6,752.7669,2.0,37.5,2
7.1,379.5575,10.0,49.8,6
34.6,272.6783,5.0,26.9,1
16.9,964.7496,4.0,37.7,4
12.9,187.4823,1.0,33.1,1
12.4,1712.632,2.0,31.3,3
36.6,488.8193,8.0,38.1,3
4.1,56.47425,7.0,62.1,5
3.5,757.3377,3.0,36.7,1
15.9,1497.713,3.0,23.6,1
39.8,617.7134,2.0,39.6,3
7.8,104.8101,5.0,38.4,1
30.0,1013.341,5.0,22.8,2
27.3,337.6016,6.0,36.5,1
5.1,1867.233,2.0,35.6,2
31.3,600.8604,5.0,30.9,1
31.5,258.186,9.0,36.3,4
1.7,329.9747,5.0,50.4,5
13.0,750.0704,2.0,37.0,3
5.7,90.45606,9.0,53.5,3
33.5,563.2854,8.0,46.6,2
13.2,1712.632,2.0,30.8,1
17.4,6488.021,1.0,11.2,2
4.6,259.6607,6.0,53.7,3
7.8,104.8101,5.0,47.0,2
13.2,492.2313,5.0,42.3,2
4.0,2180.245,3.0,28.6,1
18.4,2674.961,3.0,25.7,2
4.1,2147.376,3.0,31.3,3
12.2,1360.139,1.0,30.1,1
3.8,383.8624,5.0,60.7,3
10.3,211.4473,1.0,45.3,1
0.0,338.9679,9.0,44.9,1
1.1,193.5845,6.0,45.1,1
32.9,87.30222,10.0,47.1,3
41.4,281.205,8.0,63.3,3
17.1,967.4,4.0,40.0,2
32.3,109.9455,10.0,48.0,6
35.3,614.1394,7.0,33.1,3
17.3,2261.432,4.0,29.5,2
14.2,1801.544,1.0,24.8,2
15.0,1828.319,2.0,20.9,2
18.2,350.8515,1.0,43.1,3
20.2,2185.128,3.0,22.8,2
15.9,289.3248,5.0,42.1,4
4.1,312.8963,5.0,51.7,6
33.9,157.6052,7.0,41.5,3
0.0,274.0144,1.0,52.2,3
5.4,390.5684,5.0,49.5,6
14.7,1717.193,2.0,30.5,1
3.9,49.66105,8.0,56.8,5
37.3,587.8877,8.0,37.4,2
0.0,292.9978,6.0,69.7,5
14.1,289.3248,5.0,53.3,5
8.0,132.5469,9.0,47.3,1
29.1,506.1144,4.0,40.3,4
18.3,82.88643,10.0,46.6,2
16.2,2103.555,3.0,25.6,1
10.4,2251.938,4.0,27.3,2
40.9,122.3619,8.0,67.7,6
32.8,377.8302,9.0,38.6,3
6.2,1939.749,1.0,31.3,3
42.7,443.802,6.0,35.3,2
16.9,967.4,4.0,40.3,1
21.2,512.5487,4.0,42.5,4
37.1,918.6357,1.0,31.9,4
12.7,170.1289,1.0,37.3,4
26.8,482.7581,5.0,35.5,3
7.6,2175.03,3.0,27.7,1
12.7,187.4823,1.0,28.5,1
16.4,289.3248,5.0,41.2,2
23.0,130.9945,6.0,37.2,4
1.9,372.1386,7.0,40.5,4
5.6,90.45606,9.0,50.0,6
18.8,390.9696,7.0,40.6,1
8.1,104.8101,5.0,52.5,5
6.5,90.45606,9.0,63.9,6
